Оценщик,Роль_оценщика,Оцениваемый,Должность_оцениваемого,Категория,Оценка,Комментарий
Павел Новиков,Подчинённый,Ирина Козлова,Аналитик,Командная работа,4,"Готова обсуждать подходы, не навязывает своё мнение"
Олег Фёдоров,Руководитель,Ирина Козлова,Аналитик,Экспертиза,5,"Одна из самых сильных аналитиков в компании"
Олег Фёдоров,Руководитель,Ирина Козлова,Аналитик,Коммуникация,2,"Надо научиться презентовать результаты. Данные отличные, подача — нет"
Елена Тарасова,Коллега,Ирина Козлова,Аналитик,Командная работа,4,"Помогала мне с аналитикой по HR-метрикам, всё сделала в срок"
Марина Соколова,Руководитель,Дмитрий Волков,Руководитель проектов,Лидерство,4,"Умеет организовать команду, проекты сдаёт в срок"
Марина Соколова,Руководитель,Дмитрий Волков,Руководитель проектов,Коммуникация,5,"Держит всех в курсе, статусы проектов всегда актуальные"
Марина Соколова,Руководитель,Дмитрий Волков,Руководитель проектов,Экспертиза,3,"Хорошо управляет, но иногда не хватает глубины в технических вопросах"
Алексей Петров,Коллега,Дмитрий Волков,Руководитель проектов,Командная работа,5,"Лучший проджект, с которым я работал. Всё чётко, без бюрократии"
Ирина Козлова,Коллега,Дмитрий Волков,Руководитель проектов,Коммуникация,5,"Понятные задачи, понятные дедлайны. Не надо догадываться"
Анна Сидорова,Подчинённый,Дмитрий Волков,Руководитель проектов,Лидерство,4,"Даёт свободу в выборе решения, но всегда есть к кому обратиться"
Анна Сидорова,Подчинённый,Дмитрий Волков,Руководитель проектов,Экспертиза,3,"В продуктовых вопросах иногда полагается на команду больше, чем нужно"
Павел Новиков,Подчинённый,Дмитрий Волков,Руководитель проектов,Командная работа,5,"Создаёт атмосферу, в которой не страшно задать глупый вопрос"
Павел Новиков,Подчинённый,Дмитрий Волков,Руководитель проектов,Коммуникация,4,"Регулярные 1-на-1, всегда даёт обратную связь"
Олег Фёдоров,Руководитель,Дмитрий Волков,Руководитель проектов,Лидерство,4,"Надёжный. Если Дмитрий сказал, что будет сделано — будет"
Олег Фёдоров,Руководитель,Дмитрий Волков,Руководитель проектов,Командная работа,4,"Хорошо координирует смежные отделы"
Марина Соколова,Руководитель,Анна Сидорова,Младший менеджер по продажам,Экспертиза,3,"Растёт, но пока не хватает знания продукта. Нужно больше обучения"
Марина Соколова,Руководитель,Анна Сидорова,Младший менеджер по продажам,Коммуникация,4,"Хорошо общается с клиентами, умеет слушать"
Марина Соколова,Руководитель,Анна Сидорова,Младший менеджер по продажам,Лидерство,2,"Пока рано говорить о лидерстве, нормально для джуна"
Алексей Петров,Руководитель,Анна Сидорова,Младший менеджер по продажам,Экспертиза,3,"Старается, задаёт правильные вопросы. Через полгода будет сильной"
Алексей Петров,Руководитель,Анна Сидорова,Младший менеджер по продажам,Командная работа,5,"Всегда готова помочь коллегам, даже когда загружена"
Дмитрий Волков,Коллега,Анна Сидорова,Младший менеджер по продажам,Коммуникация,4,"Вежливая и внимательная в переписке, не забывает follow-up"
Дмитрий Волков,Коллега,Анна Сидорова,Младший менеджер по продажам,Командная работа,4,"Быстро влилась в команду, не боится просить о помощи"
Ирина Козлова,Коллега,Анна Сидорова,Младший менеджер по продажам,Экспертиза,2,"Путает некоторые продукты, надо подтянуть"
Ирина Козлова,Коллега,Анна Сидорова,Младший менеджер по продажам,Коммуникация,4,"Приятная в общении, располагает к себе"
Павел Новиков,Коллега,Анна Сидорова,Младший менеджер по продажам,Командная работа,5,"Лучший командный игрок в отделе, всегда поможет"
Олег Фёдоров,Руководитель,Анна Сидорова,Младший менеджер по продажам,Лидерство,2,"Молодой специалист, пока вопрос не стоит"
Марина Соколова,Руководитель,Павел Новиков,Дата-инженер,Экспертиза,5,"Незаменимый специалист по базам данных. Если что-то сломалось — все идут к Павлу"
Марина Соколова,Руководитель,Павел Новиков,Дата-инженер,Коммуникация,2,"Сложно объясняет простые вещи. Говорит на техническом языке даже с маркетингом"
Марина Соколова,Руководитель,Павел Новиков,Дата-инженер,Лидерство,3,"Может вести проект, но не стремится к этому"
Алексей Петров,Коллега,Павел Новиков,Дата-инженер,Командная работа,3,"Помогает, но иногда долго объясняет, почему нельзя сделать так, как просишь"
Ирина Козлова,Руководитель,Павел Новиков,Дата-инженер,Экспертиза,5,"Лучший инженер данных, которого я встречала"
Ирина Козлова,Руководитель,Павел Новиков,Дата-инженер,Коммуникация,3,"Отвечает на вопросы, но инициативы в коммуникации мало"
Дмитрий Волков,Коллега,Павел Новиков,Дата-инженер,Командная работа,4,"Если задача чёткая — делает отлично. Если размытая — буксует"
Дмитрий Волков,Коллега,Павел Новиков,Дата-инженер,Экспертиза,4,"Технически сильный, находит неочевидные решения"
Анна Сидорова,Коллега,Павел Новиков,Дата-инженер,Коммуникация,2,"Однажды попросила помощь с выгрузкой, получила лекцию на 40 минут"
Олег Фёдоров,Руководитель,Павел Новиков,Дата-инженер,Лидерство,3,"Хороший исполнитель, но пока не лидер"
Олег Фёдоров,Руководитель,Павел Новиков,Дата-инженер,Экспертиза,5,"Технический уровень — один из лучших в компании"
Марина Соколова,Руководитель,Елена Тарасова,HR-менеджер,Коммуникация,5,"Умеет найти подход к любому сотруднику, конфликты гасит на раннем этапе"
Марина Соколова,Руководитель,Елена Тарасова,HR-менеджер,Лидерство,4,"Самостоятельно ведёт HR-направление, минимум контроля"
Марина Соколова,Руководитель,Елена Тарасова,HR-менеджер,Экспертиза,4,"Хорошо знает ТК, рынок зарплат, инструменты рекрутинга"
Алексей Петров,Коллега,Елена Тарасова,HR-менеджер,Командная работа,4,"Быстро закрыла мне вакансию, весь процесс прозрачный"
Ирина Козлова,Коллега,Елена Тарасова,HR-менеджер,Коммуникация,5,"Единственный человек, который реально слушает на 1-на-1"
Дмитрий Волков,Коллега,Елена Тарасова,HR-менеджер,Лидерство,3,"Иногда не хватает жёсткости — слишком мягкая с теми, кто не выполняет"
Павел Новиков,Коллега,Елена Тарасова,HR-менеджер,Экспертиза,3,"Не всегда понимает технические роли, путает фронтенд с бэкендом"
Павел Новиков,Коллега,Елена Тарасова,HR-менеджер,Командная работа,4,"Организует тимбилдинги, поддерживает атмосферу"
Анна Сидорова,Коллега,Елена Тарасова,HR-менеджер,Коммуникация,5,"Помогла мне адаптироваться в первый месяц, очень благодарна"
Олег Фёдоров,Руководитель,Елена Тарасова,HR-менеджер,Экспертиза,4,"Справляется хорошо, но хотелось бы больше аналитики по HR-метрикам"
Олег Фёдоров,Руководитель,Елена Тарасова,HR-менеджер,Лидерство,4,"Инициативна, сама предлагает улучшения в процессах"
Марина Соколова,Руководитель,Олег Фёдоров,Финансовый директор,Экспертиза,5,"Бюджеты, прогнозы, отчётность — всё безупречно"
Марина Соколова,Руководитель,Олег Фёдоров,Финансовый директор,Лидерство,4,"Финансовый отдел работает как часы"
Марина Соколова,Руководитель,Олег Фёдоров,Финансовый директор,Коммуникация,3,"Бывает слишком категоричен. Иногда стоит объяснить причину отказа, а не просто сказать нет"
Алексей Петров,Коллега,Олег Фёдоров,Финансовый директор,Командная работа,2,"Режет бюджеты без обсуждения. Мне бы хотелось, чтобы сначала спрашивал"
Ирина Козлова,Коллега,Олег Фёдоров,Финансовый директор,Экспертиза,5,"Разбирается в цифрах лучше всех. Если Олег говорит, что не сходится — значит, не сходится"
Дмитрий Волков,Коллега,Олег Фёдоров,Финансовый директор,Коммуникация,3,"Прямолинейный, что не всем нравится. Но всегда честный"
Елена Тарасова,Коллега,Олег Фёдоров,Финансовый директор,Командная работа,3,"Сложно согласовывать HR-бюджеты, хотелось бы больше гибкости"
Елена Тарасова,Коллега,Олег Фёдоров,Финансовый директор,Лидерство,4,"Уверенно управляет финансами, вызывает доверие"
Павел Новиков,Коллега,Олег Фёдоров,Финансовый директор,Коммуникация,2,"Отклонил запрос на оборудование без объяснения. Было неприятно"
Анна Сидорова,Коллега,Олег Фёдоров,Финансовый директор,Экспертиза,4,"Не моя область, но на совещаниях видно, что человек в теме"
Олег Фёдоров,Самооценка,Олег Фёдоров,Финансовый директор,Лидерство,4,"Стараюсь быть справедливым, но знаю, что бываю резким"
Марина Соколова,Руководитель,Катя Игнатьева,Маркетолог,Экспертиза,4,"Хорошо понимает digital-маркетинг, генерирует много идей"
Марина Соколова,Руководитель,Катя Игнатьева,Маркетолог,Коммуникация,4,"Активная, инициативная, иногда перебивает на совещаниях"
Марина Соколова,Руководитель,Катя Игнатьева,Маркетолог,Лидерство,3,"Пока управляет только стажёром, но потенциал есть"
Алексей Петров,Коллега,Катя Игнатьева,Маркетолог,Командная работа,4,"Делает хорошие материалы для продаж, быстро реагирует"
Ирина Козлова,Коллега,Катя Игнатьева,Маркетолог,Коммуникация,3,"Много идей, но не всегда доводит до конца"
Дмитрий Волков,Коллега,Катя Игнатьева,Маркетолог,Экспертиза,4,"Контент делает хороший, визуал всегда на уровне"
Елена Тарасова,Коллега,Катя Игнатьева,Маркетолог,Командная работа,5,"Помогла с EVP для вакансий, результат превзошёл ожидания"
Павел Новиков,Коллега,Катя Игнатьева,Маркетолог,Коммуникация,3,"Иногда запрашивает данные, которые не понимает, и потом не использует"
Анна Сидорова,Коллега,Катя Игнатьева,Маркетолог,Экспертиза,4,"Научила меня основам Telegram-маркетинга, полезный человек"
Олег Фёдоров,Руководитель,Катя Игнатьева,Маркетолог,Лидерство,3,"Хороший специалист, до руководителя надо подрасти"
Олег Фёдоров,Руководитель,Катя Игнатьева,Маркетолог,Экспертиза,4,"Маркетинговые кампании окупаются, ROI считает корректно"
Марина Соколова,Руководитель,Сергей Миронов,Руководитель техподдержки,Лидерство,4,"Отдел работает стабильно, SLA выполняется"
Марина Соколова,Руководитель,Сергей Миронов,Руководитель техподдержки,Коммуникация,3,"Замкнутый, редко выходит на связь первым. Надо спрашивать"
Марина Соколова,Руководитель,Сергей Миронов,Руководитель техподдержки,Экспертиза,5,"Знает продукт наизусть, решает сложные кейсы сам"
Дмитрий Волков,Коллега,Сергей Миронов,Руководитель техподдержки,Командная работа,3,"С другими отделами контактирует мало, живёт в своём мире"
Дмитрий Волков,Коллега,Сергей Миронов,Руководитель техподдержки,Лидерство,4,"Его команда лояльна, текучки почти нет"
Алексей Петров,Коллега,Сергей Миронов,Руководитель техподдержки,Экспертиза,5,"Когда клиент жалуется — отправляю к Сергею, он решает за час"
Катя Игнатьева,Коллега,Сергей Миронов,Руководитель техподдержки,Коммуникация,2,"Три раза просила статистику обращений для кейсов — получила через месяц"
Елена Тарасова,Коллега,Сергей Миронов,Руководитель техподдержки,Командная работа,3,"Отзывчивый, но только по своему направлению"
Павел Новиков,Коллега,Сергей Миронов,Руководитель техподдержки,Экспертиза,4,"Технически грамотный, баги описывает чётко"
Олег Фёдоров,Руководитель,Сергей Миронов,Руководитель техподдержки,Лидерство,4,"Стабильный руководитель, без сюрпризов"
Олег Фёдоров,Руководитель,Сергей Миронов,Руководитель техподдержки,Коммуникация,2,"Отчёты сдаёт вовремя, но инициативы по улучшению процессов — ноль"
Марина Соколова,Руководитель,Наталья Белова,Бухгалтер,Экспертиза,5,"Ни одной ошибки в отчётности за 2 года"
Марина Соколова,Руководитель,Наталья Белова,Бухгалтер,Коммуникация,3,"Работает тихо и надёжно, но на совещаниях не участвует"
Олег Фёдоров,Руководитель,Наталья Белова,Бухгалтер,Экспертиза,5,"Профессионал. Закрытие периода — всегда вовремя"
Олег Фёдоров,Руководитель,Наталья Белова,Бухгалтер,Лидерство,2,"Не стремится к управленческой роли, и это нормально для позиции"
Олег Фёдоров,Руководитель,Наталья Белова,Бухгалтер,Командная работа,4,"Подменяет коллег без вопросов, надёжная"
Елена Тарасова,Коллега,Наталья Белова,Бухгалтер,Коммуникация,3,"Документы готовит быстро, но объяснить сложный вопрос — не её"
Ирина Козлова,Коллега,Наталья Белова,Бухгалтер,Экспертиза,4,"Всегда корректные данные для аналитики"
Катя Игнатьева,Коллега,Наталья Белова,Бухгалтер,Командная работа,3,"Тихий профессионал, работает без лишнего шума"
Алексей Петров,Коллега,Наталья Белова,Бухгалтер,Коммуникация,3,"Акты и счета — всегда в срок. Больше не взаимодействуем"
Дмитрий Волков,Коллега,Наталья Белова,Бухгалтер,Командная работа,4,"Никогда не подводила с документами для проектов"
Марина Соколова,Руководитель,Виктор Зайцев,Менеджер по работе с клиентами,Коммуникация,5,"Клиенты его обожают. NPS по его клиентам — 72"
Марина Соколова,Руководитель,Виктор Зайцев,Менеджер по работе с клиентами,Экспертиза,3,"Хорошо общается, но иногда обещает клиентам то, что мы не можем"
Марина Соколова,Руководитель,Виктор Зайцев,Менеджер по работе с клиентами,Лидерство,3,"Пока не готов к управленческой роли, но растёт"
Алексей Петров,Коллега,Виктор Зайцев,Менеджер по работе с клиентами,Командная работа,4,"Передаёт клиентов аккуратно, вся история — в CRM"
Дмитрий Волков,Коллега,Виктор Зайцев,Менеджер по работе с клиентами,Коммуникация,5,"Лучший коммуникатор в компании, без преувеличений"
Катя Игнатьева,Коллега,Виктор Зайцев,Менеджер по работе с клиентами,Экспертиза,3,"Не всегда корректно передаёт требования клиентов, приходится уточнять"
Сергей Миронов,Коллега,Виктор Зайцев,Менеджер по работе с клиентами,Командная работа,4,"Быстро эскалирует проблемы, не затягивает"
Анна Сидорова,Коллега,Виктор Зайцев,Менеджер по работе с клиентами,Коммуникация,5,"Учусь у него общаться с клиентами, отличный пример"
Елена Тарасова,Коллега,Виктор Зайцев,Менеджер по работе с клиентами,Лидерство,3,"Хороший исполнитель, пока менторских навыков не видно"
Олег Фёдоров,Руководитель,Виктор Зайцев,Менеджер по работе с клиентами,Экспертиза,3,"Иногда даёт скидки без согласования. Надо контролировать"
Марина Соколова,Руководитель,Денис Павлов,Продакт-менеджер,Экспертиза,5,"Глубоко понимает продукт и рынок, данные подкрепляют решения"
Марина Соколова,Руководитель,Денис Павлов,Продакт-менеджер,Лидерство,4,"Уверенно ведёт продуктовые команды, спринты проходят без срывов"
Марина Соколова,Руководитель,Денис Павлов,Продакт-менеджер,Коммуникация,4,"Презентации делает отлично, но в переписке бывает сухим"
Алексей Петров,Коллега,Денис Павлов,Продакт-менеджер,Командная работа,3,"Иногда меняет приоритеты без предупреждения, продажи страдают"
Ирина Козлова,Коллега,Денис Павлов,Продакт-менеджер,Экспертиза,5,"Всегда знает, почему мы делаем именно это. Видение есть"
Дмитрий Волков,Коллега,Денис Павлов,Продакт-менеджер,Лидерство,4,"С ним комфортно работать, чётко ставит задачи"
Сергей Миронов,Коллега,Денис Павлов,Продакт-менеджер,Коммуникация,3,"Мог бы чаще приходить к нам обсудить фичи до релиза, а не после"
Катя Игнатьева,Коллега,Денис Павлов,Продакт-менеджер,Командная работа,4,"Маркетинговые материалы обычно согласовывает быстро"
Павел Новиков,Коллега,Денис Павлов,Продакт-менеджер,Экспертиза,4,"Понимает ограничения технологий, адекватные требования"
Олег Фёдоров,Руководитель,Денис Павлов,Продакт-менеджер,Лидерство,4,"Один из самых зрелых управленцев в компании"
Марина Соколова,Руководитель,Максим Орлов,DevOps-инженер,Экспертиза,4,"Серверы работают стабильно, даунтайм минимальный"
Марина Соколова,Руководитель,Максим Орлов,DevOps-инженер,Коммуникация,2,"Молчун. Узнаёшь, что что-то починено, случайно"
Марина Соколова,Руководитель,Максим Орлов,DevOps-инженер,Лидерство,2,"Работает один, лидерство не требуется на позиции"
Павел Новиков,Коллега,Максим Орлов,DevOps-инженер,Экспертиза,5,"Без Максима наша инфраструктура рассыпалась бы"
Павел Новиков,Коллега,Максим Орлов,DevOps-инженер,Командная работа,4,"Когда нужно — приходит и чинит. Не торгуется"
Сергей Миронов,Коллега,Максим Орлов,DevOps-инженер,Экспертиза,5,"Решает инфраструктурные проблемы быстрее всех"
Дмитрий Волков,Коллега,Максим Орлов,DevOps-инженер,Коммуникация,2,"Попросил написать инструкцию для команды — получил файл без единого пояснения"
Денис Павлов,Коллега,Максим Орлов,DevOps-инженер,Командная работа,3,"Делает свою работу хорошо, но в команде существует параллельно"
Катя Игнатьева,Коллега,Максим Орлов,DevOps-инженер,Коммуникация,1,"Писала ему про сайт трижды — ответил через неделю одним словом"
Олег Фёдоров,Руководитель,Максим Орлов,DevOps-инженер,Экспертиза,4,"Технически без вопросов, всё работает"
Олег Фёдоров,Руководитель,Максим Орлов,DevOps-инженер,Коммуникация,2,"Надо работать над софт-скиллами, иначе потолок"
Марина Соколова,Руководитель,Юлия Романова,Офис-менеджер,Командная работа,5,"Юля — клей, который держит офис. Всё организовано, все довольны"
Марина Соколова,Руководитель,Юлия Романова,Офис-менеджер,Коммуникация,5,"Всегда на связи, всегда знает, что происходит"
Марина Соколова,Руководитель,Юлия Романова,Офис-менеджер,Экспертиза,3,"Хороша в организации, но хотелось бы больше инициативы в оптимизации процессов"
Алексей Петров,Коллега,Юлия Романова,Офис-менеджер,Командная работа,5,"Бронирование переговорок, заказ канцелярии, организация мероприятий — Юля решает всё"
Ирина Козлова,Коллега,Юлия Романова,Офис-менеджер,Коммуникация,5,"Самый отзывчивый человек в компании"
Дмитрий Волков,Коллега,Юлия Романова,Офис-менеджер,Командная работа,5,"Без Юли корпоратив развалился бы. Организаторские способности на высоте"
Елена Тарасова,Коллега,Юлия Романова,Офис-менеджер,Лидерство,3,"Управленческий потенциал есть, но не в текущей роли"
Павел Новиков,Коллега,Юлия Романова,Офис-менеджер,Коммуникация,5,"Если нужно что-то в офисе — пишешь Юле, через час всё готово"
Катя Игнатьева,Коллега,Юлия Романова,Офис-менеджер,Командная работа,5,"Организовала фотосессию для маркетинга за день, спасла дедлайн"
Олег Фёдоров,Руководитель,Юлия Романова,Офис-менеджер,Экспертиза,3,"Для офис-менеджера — отлично. Хозяйственные вопросы закрывает полностью"
Марина Соколова,Руководитель,Артём Чернов,Коммерческий директор,Лидерство,5,"Продажи растут третий квартал подряд. Команда мотивирована"
Марина Соколова,Руководитель,Артём Чернов,Коммерческий директор,Экспертиза,4,"Знает рынок, чувствует тренды, но иногда слишком оптимистичен в прогнозах"
Марина Соколова,Руководитель,Артём Чернов,Коммерческий директор,Коммуникация,4,"Хороший переговорщик, но внутри компании бывает авторитарным"
Алексей Петров,Подчинённый,Артём Чернов,Коммерческий директор,Лидерство,5,"Лучший руководитель, которого я знал. Требовательный, но справедливый"
Виктор Зайцев,Подчинённый,Артём Чернов,Коммерческий директор,Коммуникация,4,"Дверь всегда открыта, но иногда решения принимает единолично"
Ирина Козлова,Коллега,Артём Чернов,Коммерческий директор,Командная работа,3,"Продажи и аналитика могли бы теснее сотрудничать"
Дмитрий Волков,Коллега,Артём Чернов,Коммерческий директор,Лидерство,4,"Умеет вдохновить команду перед закрытием квартала"
Елена Тарасова,Коллега,Артём Чернов,Коммерческий директор,Коммуникация,3,"В неформальной обстановке отличный, на совещаниях — давит"
Катя Игнатьева,Коллега,Артём Чернов,Коммерческий директор,Командная работа,4,"Быстро согласовывает маркетинговые активности, не тормозит"
Олег Фёдоров,Коллега,Артём Чернов,Коммерческий директор,Экспертиза,4,"Понимает экономику продаж, считать умеет"
Олег Фёдоров,Коллега,Артём Чернов,Коммерческий директор,Лидерство,5,"Один из самых сильных лидеров в компании"
